SPECIES_NAME,Family,Class,Taxon,Diet,Diet2,Slope,N,Spearman,Sig,Direction,Change,Max depth,Max depth,Max Length,Max Length,Max Length,Commercially exploited,N site,Lat Span degrees,endemism,Mobility,SiteLat,SiteLong,T Mean,T Mean,Biogeog,Chl mean,Count of 1450 sites,"Province 142 TI 147 prom 118 albany, temp <16 >21 oC chlorophyll >0.6",Biogeog2
Chlorurus sordidus,Labridae,Actinopterygii,Vertebrate,Excavator,Herbivore,0.02024273,4349,-0.049450549,,,1.198585655,50,3.912023005,40,3.688879454,4,n,31.95662984,25,non-endemic,demersal,-19.48455622,144.5387091,25.91772186,26,tropical,0.498026492,724,IWP,tropical
Acanthochromis polyacanthus,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.01191948,3608,-0.258241758,,,0.851794337,65,4.17438727,14,2.63905733,3,n,116.7147186,14,non-endemic,demersal,-17.89662988,147.2179179,26.41898095,26.4,tropical,0.52604762,490,IWP,tropical
Pomacentrus lepidogenys,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.007618894,3571,-0.549450549,,,0.879430173,12,2.48490665,9,2.197224577,2,n,340.4504527,20,non-endemic,demersal,-18.08964726,146.2870682,26.26896506,26.2,tropical,0.558209304,442,IWP,tropical
Scarus niger,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,-0.019933838,3553,-0.747252747,**,down,0.806072453,15,2.708050201,40,3.688879454,4,n,6.361405377,22,non-endemic,demersal,-18.26231592,146.1758403,26.25998275,26.2,tropical,0.462284485,519,IWP,tropical
Pictilabrus laticlavius,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.011246845,3303,-0.274725275,,,0.890474969,30,3.401197382,30,3.401197382,3,n,3.627171086,16,endemic,demersal,-36.82819326,142.6851272,17.09276794,17,temperate,1.085285709,642,S,cool
Gomphosus varius,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.007294956,3271,-0.43956044,,,0.919849722,30,3.401197382,30,3.401197382,3,n,6.526308385,22,non-endemic,demersal,-19.3612929,144.2560936,26.03994893,26,tropical,0.453240878,627,IWP,tropical
Pomacentrus moluccensis,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.019771542,3235,-0.494505495,,,0.823286068,14,2.63905733,9,2.197224577,2,n,324.3280411,24,non-endemic,demersal,-18.653387,142.9880521,26.41976095,26.4,tropical,0.616840711,503,N,tropical
Chlorurus microrhinos,Labridae,Actinopterygii,Vertebrate,Excavator,Herbivore,0.014724139,3196,-0.582417582,*,down,1.136393585,35,3.555348061,70,4.248495242,4,n,4.04732544,22,non-endemic,demersal,-18.95064864,144.6488676,26.15684615,26.2,tropical,0.484984618,573,IWP,tropical
Hemigymnus fasciatus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.037282748,3185,-0.631868132,*,down,0.681195473,20,2.995732274,80,4.382026635,4,n,1.959817635,22,non-endemic,demersal,-19.0830935,145.3106036,26.16368938,26.2,tropical,0.466045455,560,IWP,tropical
Acanthurus nigrofuscus,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.024730453,3052,0.543956044,,,1.234055015,25,3.218875825,21,3.044522438,3,n,34.28374964,27,non-endemic,demersal,-20.15371755,145.3898706,25.61871039,25.6,tropical,0.482372415,596,IWP,tropical
Chaetodon lunulatus,Chaetodontidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.011732591,3011,-0.587912088,*,down,0.888470382,20,2.995732274,14,2.63905733,3,n,4.537743997,23,non-endemic,demersal,-18.64541857,143.7075331,26.12437796,26.2,tropical,0.4868189,575,IWP,tropical
Amblyglyphidodon curacao,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.053888024,2974,-0.730769231,**,down,0.594929052,40,3.688879454,11,2.397895273,2,n,88.28068374,20,non-endemic,demersal,-18.22496688,146.3264137,26.45464147,26.4,tropical,0.507084908,442,IWP,tropical
Olisthops cyanomelas,Labridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.026408258,2955,0.087912088,,,0.784257145,30,3.401197382,55,4.007333185,4,n,4.496114954,16,endemic,demersal,-36.67053554,141.6790029,17.14186802,17.2,temperate,1.022669809,598,S,cool
Hemigymnus melapterus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.024621861,2933,-0.813186813,***,down,0.77431578,30,3.401197382,90,4.49980967,4,n,3.014460411,23,non-endemic,demersal,-19.38549036,143.6462416,26.10631888,26.2,tropical,0.628120693,531,N,tropical
Plectropomus leopardus,Serranidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,-0.008217992,2926,0.208791209,,,0.947243312,100,4.605170186,120,4.787491743,5,y,3.315392448,14,non-endemic,demersal,-18.4652722,146.8247373,26.4174444,26.4,tropical,0.578322224,418,IWP,tropical
Pomacentrus wardi,Pomacentridae,Actinopterygii,Vertebrate,Algal farmer,Herbivore,0.013463295,2908,-0.016483516,,,1.161303569,20,2.995732274,8,2.079441542,2,n,124.7458573,20,endemic,demersal,-19.46389264,148.9455682,25.91441087,26,tropical,0.622301371,368,N,tropical
Scarus frenatus,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,-0.022794617,2893,-0.384615385,,,0.762761094,20,2.995732274,47,3.850147602,4,n,3.969898131,22,non-endemic,demersal,-19.51455636,144.444778,26.12342732,26.2,tropical,0.498068378,494,IWP,tropical
Scarus chameleon,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,-0.013757583,2826,-0.736263736,**,down,0.86170655,30,3.401197382,31,3.433987204,3,n,4.165643883,25,non-endemic,demersal,-20.04989305,147.460792,25.41565858,25.4,tropical,0.533016262,499,IWP,tropical
Zebrasoma scopas,Acanthuridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.012063505,2789,-0.587912088,*,down,0.888263251,60,4.094344562,40,3.688879454,4,n,16.74890715,22,non-endemic,demersal,-18.41083206,143.0176842,26.17363936,26.2,tropical,0.458270494,505,IWP,tropical
Plectroglyphidodon lacrymatus,Pomacentridae,Actinopterygii,Vertebrate,Algal farmer,Herbivore,-0.007162186,2766,-0.626373626,*,down,0.898782215,40,3.688879454,10,2.302585093,2,n,51.76083285,22,non-endemic,demersal,-18.16141554,144.0014369,26.33914041,26.4,tropical,0.497824564,480,IWP,tropical
Notolabrus tetricus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.0041342,2742,0.318681319,,,0.935425567,160,5.075173815,50,3.912023005,4,y,23.28078525,12,endemic,demersal,-39.26977155,144.8007561,15.88285885,15.8,temperate,1.121505874,471,S,cool
Heliocidaris erythrogramma,Echinometridae,Echinoidea,Invertebrate,Scraping herbivore,Herbivore,-0.007595466,2712,-0.796703297,**,down,0.943679961,35,3.555348061,9,2.197224577,2,y,560.5253737,14,endemic,benthic,-37.02695831,141.6852866,17.24218355,17.2,temperate,1.070477061,602,S,cool
Epibulus insidiator,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.008717747,2687,-0.703296703,**,down,0.920395038,42,3.737669618,54,3.988984047,4,n,1.605755909,22,non-endemic,demersal,-18.2996442,142.9475056,26.46086664,26.4,tropical,0.563742859,486,IWP,tropical
Chaetodon rainfordi,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.019339245,2587,-0.291208791,,,0.788557162,15,2.708050201,15,2.708050201,3,n,5.404956071,22,non-endemic,demersal,-19.90038451,149.2682496,25.64812671,25.6,tropical,0.624549297,339,N,tropical
