site_code,State
19131S-1,Northeast
19131S-2,Northeast
19131S-3,Northeast
19138S-1,Northeast
19138S-2,Northeast
19138S-3,Northeast
20104S-1,Northeast
20104S-2,Northeast
20104S-3,Northeast
20348S-1,Northeast
20348S-2,Northeast
20348S-3,Northeast
20353S-1,Northeast
20353S-2,Northeast
20353S-3,Northeast
21060S-1,Northeast
21060S-2,Northeast
21060S-3,Northeast
21062S-1,Northeast
21062S-2,Northeast
21062S-3,Northeast
21064S-1,Northeast
21064S-2,Northeast
21064S-3,Northeast
21139S-1,Northeast
21139S-2,Northeast
21139S-3,Northeast
21187S-1,Northeast
21187S-2,Northeast
21187S-3,Northeast
21245S-1,Northeast
21245S-2,Northeast
21245S-3,Northeast
21278S-1,Northeast
21278S-2,Northeast
21278S-3,Northeast
21296S-1,Northeast
21296S-2,Northeast
21296S-3,Northeast
21302S-1,Northeast
21302S-2,Northeast
21302S-3,Northeast
21529S-1,Northeast
21529S-2,Northeast
21529S-3,Northeast
21550S-1,Northeast
21550S-2,Northeast
21550S-3,Northeast
21558S-1,Northeast
21558S-2,Northeast
21558S-3,Northeast
21591S-1,Northeast
21591S-2,Northeast
21591S-3,Northeast
22084S-1,Northeast
22084S-2,Northeast
22084S-3,Northeast
AGINCOURT REEFS (NO 1)-1,Northeast
AGINCOURT REEFS (NO 1)-2,Northeast
AGINCOURT REEFS (NO 1)-3,Northeast
AIMS1,Northeast
AIMS10,Northeast
AIMS12,Northeast
AIMS2,Northeast
AIMS4,Northeast
AIMS5,Northeast
AIMS7,Northeast
AIMS9,Northeast
ARLINGTON REEF-1,Northeast
ARLINGTON REEF-2,Northeast
ARLINGTON REEF-3,Northeast
BI-S1,Tasmania
BI-S2,Tasmania
BI-S3,Tasmania
BI-S4,Tasmania
BI-S5,Tasmania
BMP1,Southeast
BMP13,Southeast
BMP14,Southeast
BMP17,Southeast
BMP18,Southeast
BMP2,Southeast
BMP22,Southeast
BMP24,Southeast
BMP25,Southeast
BMP26,Southeast
BMP27,Southeast
BMP28,Southeast
BMP29,Southeast
BMP3,Southeast
BMP30,Southeast
BMP31,Southeast
BMP32,Southeast
BMP46,Southeast
BMP5,Southeast
BMP7,Southeast
BMP-S1,Southeast
BMP-S10,Southeast
BMP-S11,Southeast
BMP-S12,Southeast
BMP-S13,Southeast
BMP-S14,Southeast
BMP-S15,Southeast
BMP-S16,Southeast
BMP-S17,Southeast
BMP-S18,Southeast
BMP-S19,Southeast
BMP-S2,Southeast
BMP-S20,Southeast
BMP-S21,Southeast
BMP-S22,Southeast
BMP-S23,Southeast
BMP-S24,Southeast
BMP-S25,Southeast
BMP-S26,Southeast
BMP-S27,Southeast
BMP-S28,Southeast
BMP-S29,Southeast
BMP-S3,Southeast
BMP-S30,Southeast
BMP-S31,Southeast
BMP-S32,Southeast
BMP-S33,Southeast
BMP-S34,Southeast
BMP-S35,Southeast
BMP-S36,Southeast
BMP-S37,Southeast
BMP-S4,Southeast
BMP-S5,Southeast
BMP-S6,Southeast
BMP-S7,Southeast
BMP-S8,Southeast
BMP-S9,Southeast
BORDER ISLAND REEF (NO 1)-1,Northeast
BORDER ISLAND REEF (NO 1)-2,Northeast
BORDER ISLAND REEF (NO 1)-3,Northeast
BOULT REEF-1,Northeast
BOULT REEF-2,Northeast
BOULT REEF-3,Northeast
BR1,Southeast
BR10,Southeast
BR11,Southeast
BR13,Southeast
BR2,Southeast
BR3,Southeast
BR4,Southeast
BR5,Southeast
BR6,Southeast
BR7,Southeast
BR9,Southeast
